id,status_group
50785,functional
51630,non functional
17168,functional
45559,functional
49871,functional
52449,non functional
24806,functional
28965,functional
36301,non functional
54122,functional
419,non functional
45750,functional
653,functional
14017,functional
44607,functional
40228,functional needs repair
27714,non functional
28785,non functional
28330,functional
18532,non functional
69961,functional
55083,non functional
8691,functional
30331,non functional
70970,non functional
61136,non functional
28799,non functional
46825,functional
44718,non functional
37350,functional
65738,functional
3271,functional
42658,functional
67523,functional
37034,functional
42432,non functional
27420,functional
707,functional
48489,functional
51008,non functional
72562,non functional
10275,functional
53540,functional
43291,non functional
8813,non functional
62343,functional
1649,non functional
8822,functional
10352,non functional
50878,functional
15266,functional
51956,functional
44099,non functional
59,functional
51359,functional
15962,non functional
17853,non functional
42040,non functional
72243,functional needs repair
63653,functional needs repair
26510,functional
72053,functional
29351,non functional
51897,functional
20376,functional
26804,non functional
67303,functional needs repair
69780,non functional
45374,functional
54665,non functional
39341,non functional
8869,functional
20691,non functional
19693,non functional
14321,non functional
63059,functional
67403,functional
28912,functional
12549,non functional
24328,functional
13750,functional
1574,non functional
44149,functional
53917,non functional
22705,functional
66465,functional
15644,non functional
20773,functional
33092,functional
54392,functional needs repair
37850,functional
5576,non functional
60840,non functional
9971,functional
57508,non functional
25872,non functional
43978,non functional
38181,non functional
24325,functional
2724,non functional
34794,functional
56525,functional
63155,functional
67247,non functional
23387,functional
17873,functional
18197,non functional
24834,functional
4091,functional
33261,functional
44384,functional
62096,functional
64554,non functional
68314,non functional
53,non functional
23426,non functional
38259,non functional
16631,functional
43162,functional
44492,functional
38884,functional
13690,functional
60335,functional
31856,non functional
67891,functional
25564,functional
55293,non functional
31866,functional
71178,functional
60279,non functional
28615,functional
8744,functional
48308,functional
49626,functional
38098,non functional
30309,functional
8015,functional
3496,non functional
56971,functional
68616,functional
8646,non functional
74104,functional
37501,functional
33001,non functional
69202,functional needs repair
68409,functional needs repair
51847,functional
55647,non functional
17923,functional
71743,non functional
51539,functional
73819,functional
66881,functional
58768,non functional
2648,non functional
68933,functional
12427,functional
16633,non functional
24123,non functional
58551,functional
17132,functional
3027,non functional
2651,functional
25998,functional
63400,functional
50028,functional
67897,non functional
21425,non functional
71756,non functional
16862,non functional
15420,functional
47784,non functional
712,functional
54368,functional
2866,functional
51130,functional
27993,functional
21621,functional
66038,non functional
42182,non functional
17694,non functional
57759,functional
47978,functional
52359,functional
69656,functional
24086,non functional
43579,functional
43284,functional
2877,non functional
21171,functional
40982,functional
48396,functional
13323,functional
28467,functional
2768,functional
73593,functional
65164,functional
69976,functional
52145,functional
49259,non functional
23542,non functional
69848,non functional
9305,non functional
14359,functional
28925,functional
21243,non functional
10616,functional
73667,non functional
20566,functional
63711,functional
72840,functional
31651,functional
3782,functional
6799,functional
21402,non functional
35390,functional
12636,functional
36887,non functional
20086,functional
5634,non functional
48029,functional
29927,functional
2930,non functional
41800,functional
68349,functional needs repair
61678,functional needs repair
30270,functional
4678,non functional
9392,functional
20735,non functional
49300,non functional
70339,non functional
25572,functional
61445,non functional
32190,functional
39189,non functional
14853,non functional
52207,non functional
48035,non functional
73122,functional
16352,non functional
42721,functional
15116,functional
7837,non functional
56907,functional
46382,functional
64521,functional
67362,functional
61861,functional
72139,functional
3398,functional
62911,non functional
48152,functional
48001,functional
64118,functional
65793,functional
61557,non functional
32352,non functional
1830,non functional
50553,functional
51961,functional
38481,functional
48371,functional
56540,functional
18142,functional
72934,functional
39300,non functional
40115,functional
3793,functional
59318,non functional
68070,non functional
67527,functional
34898,non functional
26592,functional
67682,functional
52394,non functional
32218,functional
69045,non functional
12808,functional
49250,non functional
64126,non functional
64903,non functional
35165,non functional
9543,non functional
64635,non functional
47929,non functional
28329,functional
67954,functional
16575,functional
16612,functional
27003,non functional
73324,non functional
7043,non functional
22174,functional
19450,functional
35825,functional
9854,non functional
23254,functional
72170,functional
61999,non functional
70354,functional
6877,non functional
47323,non functional
48624,functional
6148,functional
59698,functional
67268,functional
59174,non functional
68916,functional
28358,non functional
57453,functional
71952,functional
1761,functional
15234,non functional
60021,non functional
22567,non functional
17695,non functional
19872,functional needs repair
22828,functional
34896,functional
35570,non functional
41325,non functional
8831,functional
5345,functional
19379,functional
5514,functional
61654,functional
40482,functional
43123,functional
40492,functional
68733,non functional
3952,functional
70288,functional
30085,non functional
65837,functional
34752,functional
2465,functional
